"SYNAO_IDENT","TSYNAO_IDENT","INGA_IDENT","SYNAO_LIBELLE","SYNAO_ORDRE","SYNAO_OBSOLET"
"1","2","805","zinc",,"False"
"2","2","726","fer",,"False"
"4","2","855","magnésium",,"False"
"6","2","1262","glutamate monopotassique",,"False"
"7","2","735","vitamine B1",,"False"
"8","2","1223","tristéarate de sorbitane",,"False"
"9","2","780","potassium",,"False"
"10","2","706","sélénium",,"False"
"11","2","723","potassium",,"False"
"12","2","1146","butylhydroxytoluène (BHT)",,"False"
"14","2","1204","hydroxypropylcellulose",,"False"
"15","2","851","sélénium",,"False"
"16","2","1294","sucralose",,"False"
"17","2","791","zinc",,"False"
"18","2","792","fer",,"False"
"19","2","821","vitamine B12",,"False"
"20","2","1188","glycérol",,"False"
"21","2","1282","L-cystéïne",,"False"
"23","2","847","vitamine B2",,"False"
"24","2","849","fer",,"False"
"25","2","1150","lactate de calcium",,"False"
"26","2","1269","guanylate de calcium",,"False"
"27","2","1287","oxygène",,"False"
"28","2","696","magnésium",,"False"
"29","2","810","zinc",,"False"
"30","2","811","fer",,"False"
"31","2","1293","saccharine et sels de Na, K et Ca",,"False"
"32","2","786","calcium",,"False"
"33","2","715","manganèse",,"False"
"34","2","1244","oxyde de calcium",,"False"
"35","2","1245","oxyde de magnésium",,"False"
"36","2","830","cuivre",,"False"
"37","2","1068","cochenille",,"False"
"38","2","1284","hélium",,"False"
"39","2","1304","advantame",,"False"
"40","2","1107","brun HT",,"False"
"41","2","694","vitamine E",,"False"
"42","2","729","calcium",,"False"
"43","2","1133","acide ascorbique",,"False"
"44","2","1270","acide inosinique",,"False"
"45","2","1157","tartrates de potassium",,"False"
"46","2","1221","esters polyglycériques d'acides gras",,"False"
"47","2","1166","malates de calcium",,"False"
"48","2","764","cuivre",,"False"
"49","2","734","sodium",,"False"
"50","2","1126","acide acétique",,"False"
"51","2","732","manganèse",,"False"
"52","2","747","cuivre",,"False"
"53","2","1211","sels de magnésium d'acides gras",,"False"
"54","2","1272","inosinate dipotassique",,"False"
"55","2","863","chrome",,"False"
"56","2","1102","caramel ammoniacal",,"False"
"57","2","1290","aspartame",,"False"
"58","2","1277","diméthylpolysiloxane",,"False"
"59","2","1080","ponceau 4R,",,"False"
"60","2","730","chrome",,"False"
"61","2","1174","alginate de calcium",,"False"
